 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
10006430;SE ;ARACAJU ;GAMELEIRA ;RUA D, N. 38, LAMARAO ;146.450,00;250.000,00;41.42;Casa, 0.00 de área total, 439.38 de área privativa, 240.00 de área do terreno,  4 qto(s), a.serv, WC, 4 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006430
1,44441E+12;SE ;ARACAJU ;PORTO D'ANTAS ;AV GENERAL EUCLIDES FIGUEIREDO (antiga AV. A), N. 587 ;75.789,80;126.760,00;40.22;Terreno, 0.00 de área total, 0.00 de área privativa, 180.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406777678
240021002;SE ;ARACAJU ;OLARIA ;Av Santa Gleide, N. 871, Apto 302, Bloco 06 ;62.100,00;90.000,00;31.00;Apartamento, 46.86 de área total, 41.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240021002
1,44441E+12;SE ;ARACAJU ;MATAPOA ;RUA C, N. SN, LT 27, ZONA DE EXPANSAO ;292.906,60;397.000,00;26.22;Terreno, 0.00 de área total, 0.00 de área privativa, 2091.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413432370
240043120;SE ;ARACAJU ;FAROLANDIA ;RUA TENENTE WALDIR DOS SANTOS, N. 437, Apto 001, BLOCO 01 (RUA ANTONIO GUIMARAES) ;87.750,00;117.000,00;25.00;Apartamento, 54.82 de área total, 49.26 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240043120
240043138;SE ;ARACAJU ;FAROLANDIA ;AVENIDA MARIA PASTORA, N. 210, Apto 103, BLOCO 06 ;79.000,00;100.000,00;21.00;Apartamento, 52.97 de área total, 47.93 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240043138
8,55554E+12;SE ;ARACAJU ;JAPAOZINHO ;RUA SAO FRANCISCO, N. 268, Apto 8, BLOCO B ;103.250,04;108.106,85;4.50;Apartamento, 0.00 de área total, 55.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535043166
10148076;SE ;ARACAJU ;NOVO PARAISO ;RUA RIO GRANDE DO SUL, N. 548 ;400.000,00;400.000,00;0.00;Galpão, 0.00 de área total, 250.00 de área privativa, 277.14 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10148076
240021355;SE ;ARACAJU ;SOLEDADE ;RUA M (Esquina com Av. Euclides Figueiredo), N. 100, Apto 003, BL 07 ;95.000,00;95.000,00;0.00;Apartamento, 63.42 de área total, 63.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240021355
240021835;SE ;ARACAJU ;CIDADE NOVA ;Rua A, N. 123, Apto 103, Bloco 03 ;85.000,00;85.000,00;0.00;Apartamento, 59.18 de área total, 42.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240021835
